Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Employment Status,Student,0.77,435
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Employment Status,Unemployed,0.82,73
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Gender,Female,0.51,428
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Gender,Male,1.74,"1,488"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Relationship Status,Co-habiting,0.57,54
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Relationship Status,Married,2.03,"1,346"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Relationship Status,Single,0.67,548
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Social Class,AB,1.34,503
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Social Class,C1,0.49,118
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Social Class,C2,0.43,83
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Social Class,D,0.56,71
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Automotive,,3.42,332
